model,feature,importance
catboost_classifier,station_to_weather_grid_km,7.46997630201913
catboost_classifier,site_id,6.098312866762473
catboost_classifier,site_avg_crash_count_history,5.956283271605425
catboost_classifier,total_precipitation_roll3_std,3.431183746328818
catboost_classifier,avg_wind_speed_10m_roll6_mean,3.1352206522023023
catboost_classifier,total_count_sum,2.652150811160766
catboost_classifier,avg_cloud_cover_roll6_mean,2.4203480906986106
catboost_classifier,avg_cloud_cover_roll3_std,1.8221171054833116
catboost_classifier,avg_wind_speed_10m,1.6606075927911905
catboost_classifier,total_precipitation_roll3_mean,1.5691122433094573
catboost_classifier,total_precipitation_lag1,1.5515822473210998
catboost_classifier,min_temperature_2m,1.5132821936507894
catboost_classifier,total_precipitation_roll6_mean,1.5121566086272284
catboost_classifier,crash_count_500m_roll6_sum,1.461000808766518
catboost_classifier,year,1.4315630219510778
catboost_classifier,mean_interval_count_in_roll3_std,1.3868162307367162
catboost_classifier,zero_count_intervals_out,1.312556064395228
catboost_classifier,avg_relative_humidity_2m,1.3004120822086602
catboost_classifier,max_interval_count_in,1.2984070340442846
catboost_classifier,crash_count_500m_roll6_mean,1.297118030647152
catboost_classifier,max_temperature_2m,1.213952515399659
catboost_classifier,in_out_ratio,1.1781684477481504
catboost_classifier,crash_happened_500m,1.1692460896342796
catboost_classifier,site_avg_total_count_out_history,1.1682802654478281
catboost_classifier,crashes_per_1000_cyclists_lag1,1.1435618245527754
catboost_classifier,avg_wind_speed_10m_lag1,1.1401041304030324
catboost_classifier,avg_temperature_2m_roll6_mean,1.128956830759936
catboost_classifier,avg_wind_speed_10m_roll3_std,1.1080413293463773
catboost_classifier,avg_cloud_cover_lag1,1.0867513417003791
catboost_classifier,avg_wind_speed_10m_roll3_mean,1.0386453514094662
catboost_classifier,zero_count_intervals_out_roll3_std,1.0251092501884689
catboost_classifier,avg_wind_speed_10m_lag2,0.9611860896249392
catboost_classifier,zero_count_intervals_out_roll3_mean,0.9196411068154096
catboost_classifier,mean_interval_count_out_roll3_std,0.9176348618298774
catboost_classifier,avg_cloud_cover_roll3_mean,0.9061434224819056
catboost_classifier,zero_count_intervals_in_lag1,0.8936582017737633
catboost_classifier,total_precipitation,0.879676735808712
catboost_classifier,zero_count_intervals_out_roll6_mean,0.8645479065356588
catboost_classifier,avg_temperature_2m_roll3_mean,0.8491704747516339
catboost_classifier,total_count_out_roll6_mean,0.8381149138678343
catboost_classifier,avg_cloud_cover,0.8351574621232181
catboost_classifier,zero_count_intervals_in_roll3_std,0.8243709821451076
catboost_classifier,total_count_out_roll3_std,0.8026056882798466
catboost_classifier,crash_count_500m_roll3_sum,0.7982257447085129
catboost_classifier,site_avg_total_count_in_history,0.7608778148093829
catboost_classifier,avg_temperature_2m_roll3_std,0.7491988047397558
catboost_classifier,avg_cloud_cover_lag2,0.7479791150300459
catboost_classifier,zero_count_intervals_in,0.7431240167663997
catboost_classifier,total_count_in_roll3_std,0.7366374053624254
catboost_classifier,total_count_in,0.732500218926582
catboost_classifier,mean_interval_count_out_lag1,0.7284009001943588
catboost_classifier,zero_count_intervals_in_roll6_mean,0.7174723172915535
catboost_classifier,avg_temperature_2m_lag2,0.7164009535773138
catboost_classifier,total_precipitation_change_lag1,0.7085962782075248
catboost_classifier,total_rain,0.7022621095517446
catboost_classifier,total_count_in_change_lag1,0.6990480959144487
catboost_classifier,zero_count_intervals_out_lag1,0.6560048096377173
catboost_classifier,in_out_ratio_lag1,0.6494248832193439
catboost_classifier,total_count_in_roll6_mean,0.6357902119597894
catboost_classifier,mean_interval_count_in,0.6021423685652945
catboost_classifier,total_count_sum_lag1,0.5957258552807345
catboost_classifier,total_count_out,0.5914852983447642
catboost_classifier,mean_interval_count_in_roll6_mean,0.5885806952787078
catboost_classifier,total_count_out_change_lag1,0.586085352871874
catboost_classifier,total_count_out_lag2,0.5455967882400419
catboost_classifier,crash_count_500m,0.5380119302074869
catboost_classifier,total_precipitation_lag2,0.5263360905396738
catboost_classifier,total_count_out_roll3_mean,0.5210540986567626
catboost_classifier,mean_interval_count_in_lag2,0.5001191327272103
catboost_classifier,total_count_out_lag1,0.4978423273465434
catboost_classifier,mean_interval_count_out_lag2,0.4845680516309629
catboost_classifier,avg_temperature_2m_change_lag1,0.47364883130478774
catboost_classifier,zero_count_intervals_in_roll3_mean,0.4294806438967443
catboost_classifier,avg_temperature_2m,0.4264838179094356
catboost_classifier,avg_temperature_2m_lag1,0.42624966905337314
catboost_classifier,crash_count_500m_roll3_std,0.41397162112766794
catboost_classifier,total_snowfall,0.40516478040240317
catboost_classifier,crash_count_500m_roll3_mean,0.40362244579526924
catboost_classifier,mean_interval_count_out_roll3_mean,0.3952053908477023
catboost_classifier,mean_interval_count_in_roll3_mean,0.37858877818304687
catboost_classifier,total_count_in_roll3_mean,0.3740214146422029
catboost_classifier,mean_interval_count_out_roll6_mean,0.36999652149623447
catboost_classifier,total_count_in_lag1,0.3659360907261105
catboost_classifier,mean_interval_count_in_lag1,0.36315374421231256
catboost_classifier,max_interval_count_out,0.3517844244686882
